,geonameid,name,population,latitude,longitude,feature_code,modification_date,admin1_code,admin2_code,admin3_code,admin4_code,belongs_to_metrocity,belongs_to_metrocity_id,metrocity_impact,metrocity_population,is_metrocity,metrocity_radius
23337,776405,Baranowo,600,53.82639,21.4472,PPL,2010-09-18,85,2810,281002,,,,0.0,600,0,
23338,776406,Baranowo,152,53.31442,20.82725,PPL,2010-09-18,85,2817,281708,,,,0.0,152,0,
47648,3103870,Baranowo,101,52.497,17.49641,PPL,2010-09-18,86,3003,300306,,Poznań,3088171,0.43196354802916864,101,0,
52571,7535568,Baranowo,1331,52.43525,16.78631,PPL,2010-09-18,86,3021,302117,,Poznań,3088171,0.6949866074259565,1331,0,
23339,776407,Baranowo,1250,53.17554,21.29803,PPLA3,2010-09-18,78,1415,141501,,,,0.0,1250,0,
23346,776414,Baranów,434,52.11989,20.47285,PPL,2010-09-03,74,,,,Warszawa,6695624,0.46168856203766095,434,0,
23347,776415,Baranów,1672,51.55786,22.13625,PPLA3,2010-10-16,75,0614,061402,,,,0.0,1672,0,
47655,3103877,Baranów,1500,51.26342,18.0047,PPLA3,2010-10-16,86,3008,300801,,Wrocław,3081368,0.33426042124493033,1500,0,
23335,776403,Baranów Sandomierski,1426,50.49912,21.54204,PPLA3,2010-10-14,80,1820,182001,,,,0.0,1426,0,
23344,776412,Baranówek,210,50.77539,21.2491,PPL,2010-09-10,84,2606,260601,,,,0.0,210,0,
52342,7534587,Baranówek,110,51.88041,17.75331,PPL,2010-09-10,86,3020,302006,,Poznań,3088171,0.27117961699237536,110,0,
52349,7534595,Baranówka,750,50.1444,20.10283,PPL,2010-10-30,77,1206,120605,,Kraków,3094802,0.637176884837926,750,0,
23325,776393,Barciany,1100,54.21993,21.35347,PPL,2010-09-09,85,2808,280802,,,,0.0,1100,0,
47634,3103856,Barcin,7682,52.86607,17.94625,PPLA3,2010-10-30,73,0419,041901,,Poznań,3088171,0.25283872162230614,7682,0,
47631,3103853,Barcino,577,54.27715,16.96246,PPL,2010-09-08,82,2212,221205,,,,0.0,577,0,
23316,776384,Barczewo,7315,53.83055,20.69112,PPLA3,2011-07-31,85,2814,281401,,,,0.0,7315,0,
47625,3103847,Bardo,2763,50.50589,16.73986,PPL,2010-09-12,72,0224,022401,,Wrocław,3081368,0.3389779913868602,2763,0,
23310,776378,Bargłów Kościelny,800,53.77367,22.8229,PPL,2010-09-09,81,2001,200103,,,,0.0,800,0,
47602,3103824,Barlinek,14385,52.99464,15.21864,PPLA3,2019-09-05,87,3210,321001,,,,0.0,14385,0,
23342,776410,Barnowiec,167,49.50492,20.78424,PPL,2010-09-11,77,1210,121008,,Kraków,3094802,0.2959261557280395,167,0,
47590,3103812,Barnówko,286,52.78454,14.76665,PPL,2010-10-30,87,3210,321003,,,,0.0,286,0,
52455,7535367,Bartniczka,550,53.24776,19.60433,PPLA3,2010-09-14,73,0402,040206,,,,0.0,550,0,
23270,776337,Bartoszyce,23482,54.25354,20.80819,PPL,2021-11-19,85,2801,280101,,,,0.0,23482,0,
47564,3103785,Baruchowo,434,52.49412,19.26496,PPLA3,2010-09-16,73,0418,041802,,Łódź,3093133,0.28574911002017345,434,0,
47559,3103780,Barwice,3756,53.7449,16.3553,PPLA3,2011-07-31,87,3215,321502,,,,0.0,3756,0,
23243,776310,Batorz,982,50.8505,22.49313,PPLA3,2017-10-03,75,0605,060501,,,,0.0,982,0,
23463,776531,Baćkowice,540,50.79194,21.23211,PPLA3,2010-09-26,84,2606,260601,,,,0.0,540,0,
23385,776453,Bałtów,522,51.49004,22.02347,PPL,2010-09-07,75,0614,061411,,,,0.0,522,0,
23386,776454,Bałtów,740,51.01845,21.54385,PPLA3,2010-10-16,84,2607,260702,,,,0.0,740,0,
47539,3103760,Bażanowice,1161,49.73791,18.70345,PPL,2018-06-24,83,2403,240307,,Kraków,3094802,0.26239178598819496,1161,0,
47516,3103736,Bedlno,640,52.20829,19.57592,PPLA3,2010-10-15,74,1002,100202,,Łódź,3093133,0.41824964052346136,640,0,
47507,3103727,Bedoń Wieś,220,51.74441,19.64433,PPL,2017-09-15,74,1006,100602,,Łódź,3093133,0.698649907798342,220,0,
23204,776271,Bejsce,878,50.23903,20.59834,PPLA3,2010-10-10,84,2603,260301,,Kraków,3094802,0.43827868942186043,878,0,
23184,776251,Bemowo,102393,52.2546,20.90844,PPL,2018-01-16,78,1465,146501,146502_8,Warszawa,6695624,0.8382301240942427,102393,0,
23149,776214,Besko,3700,49.58757,21.95292,PPLA3,2010-09-25,80,1817,181702,,,,0.0,3700,0,
47436,3103656,Bestwina,4409,49.89712,19.05776,PPL,2010-09-06,83,2402,240202,,Kraków,3094802,0.3478368667323889,4409,0,
47435,3103655,Bestwinka,1541,49.93272,19.06694,PPL,2010-09-06,83,2402,240204,,Kraków,3094802,0.35725262916250966,1541,0,
47489,3103709,Bełchatów,62896,51.36883,19.35671,PPLA2,2010-10-15,74,1001,100101,,Łódź,3093133,0.2598931920159638,62896,0,
47476,3103696,Bełk,3353,50.13048,18.71667,PPL,2010-09-07,83,2412,241201,,Kraków,3094802,0.29359651046607216,3353,0,
47470,3103690,Bełsznica,1095,49.97811,18.36313,PPL,2010-09-06,83,2415,241506,,,,0.0,1095,0,
52828,7576105,Bełżec,2723,50.38453,23.43839,PPLA3,2010-10-14,75,0618,061802,,,,0.0,2723,0,
23185,776252,Bełżyce,6958,51.17415,22.28027,PPLA3,2010-10-11,75,0609,060901,,,,0.0,6958,0,
52568,7535565,Biała,613,52.60524,19.64956,PPLA3,2010-09-18,78,1419,141913,,Łódź,3093133,0.24856804137294355,613,0,
47424,3103644,Biała,2605,50.38587,17.66035,PPLA3,2018-11-16,79,1610,161001,,Wrocław,3081368,0.26893182688602096,2605,0,
23114,776178,Biała Piska,4027,53.61191,22.06321,PPLA3,2011-07-31,85,2816,281601,,,,0.0,4027,0,
23111,776175,Biała Podlaska,57541,52.03238,23.11652,PPLA2,2019-09-05,75,0661,066101,,,,0.0,57541,0,
23108,776172,Biała Rawska,3231,51.80779,20.47259,PPLA3,2010-10-01,74,1013,101302,,Warszawa,6695624,0.3127492948479198,3231,0,
47386,3103604,Biała Wielka,445,50.69102,19.65291,PPL,2010-10-21,83,2404,240409,,Kraków,3094802,0.3086965772029004,445,0,
23120,776184,Białaczów,1500,51.29815,20.29724,PPLA3,2010-10-01,74,1007,100701,,Łódź,3093133,0.25322815715536856,1500,0,
47370,3103588,Białe Błota,5989,53.09516,17.91621,PPL,2010-09-13,73,0403,040301,,,,0.0,5989,0,
23079,776143,Białka,605,49.87085,22.03514,PPL,2010-10-19,80,1816,181602,,,,0.0,605,0,
47425,3103645,Białka,2542,49.69306,19.67033,PPL,2010-10-19,77,1215,121506,,Kraków,3094802,0.25779783749504986,2542,0,
23080,776144,Białka Tatrzańska,2200,49.38975,20.10507,PPL,2010-09-27,77,1217,121703,,Kraków,3094802,0.2949492167308648,2200,0,
23049,776113,Białobrzegi,1208,52.44199,21.05255,PPL,2010-10-14,78,1408,140803,,Warszawa,6695624,0.6476415481482057,1208,0,
23050,776114,Białobrzegi,7328,51.64695,20.95041,PPLA2,2010-09-17,78,1401,140101,,Warszawa,6695624,0.28851223481485405,7328,0,
23056,776120,Białobrzegi,2200,50.10252,22.31907,PPLA3,2010-10-14,80,1810,181002,,,,0.0,2200,0,
47338,3103556,Białogard,24368,54.00696,15.98751,PPL,2021-11-19,87,3201,320101,,,,0.0,24368,0,
47336,3103554,Białogóra,359,54.81603,17.95823,PPL,2019-10-02,82,2211,221106,,,,0.0,359,0,
23037,776101,Białopole,883,50.98604,23.73124,PPL,2010-09-09,75,0603,060302,,,,0.0,883,0,
47329,3103547,Białopole,133,50.88295,14.90038,PPL,2015-09-03,72,0225,022503,,,,0.0,133,0,
23030,776092,Białowieża,2670,52.7,23.86667,PPLA3,2011-07-31,81,2005,200502,,,,0.0,2670,0,
23039,776103,Białołeka,129106,52.32127,20.97204,PPL,2021-11-19,78,1465,146501,146503_8,Warszawa,6695624,0.8174691230443004,129106,0,
47327,3103545,Białośliwie,2600,53.10461,17.12533,PPLA3,2010-10-16,86,3019,301902,,Poznań,3088171,0.28211166953978284,2600,0,
47314,3103531,Biały Bór,2209,53.8967,16.83543,PPLA3,2011-07-31,87,3215,321503,,,,0.0,2209,0,
23018,776080,Biały Dunajec,4200,49.3738,20.00898,PPLA3,2010-09-17,77,1217,121702,,Kraków,3094802,0.29034525384692467,4200,0,
23007,776069,Białystok,291855,53.13333,23.16433,PPLA,2021-08-03,81,2061,206101,,,,0.0,291855,0,
22991,776053,Biecz,4564,49.73596,21.26301,PPL,2010-09-10,77,1205,120502,,,,0.0,4564,0,
47288,3103505,Biecz,252,51.8083,14.83206,PPL,2010-09-11,76,0811,081103,,,,0.0,252,0,
22967,776029,Bielany,134854,52.29242,20.93531,PPL,2018-01-16,78,1465,146501,146504_8,Warszawa,6695624,0.8335370752532544,134854,0,
22962,776024,Bielany,168,52.34174,22.24929,PPLA3,2010-09-19,78,1429,142902,,Warszawa,6695624,0.3101070435922575,168,0,
47260,3103477,Bielany Wrocławskie,3219,51.0361,16.9677,PPL,2010-10-19,72,0223,022305,,Wrocław,3081368,0.7545362666401063,3219,0,
22961,776023,Bielawa,960,52.10888,21.13152,PPL,2010-10-30,78,1418,141802,,Warszawa,6695624,0.7481504591073257,960,0,
47259,3103476,Bielawa,29971,50.69075,16.623,PPL,2021-11-19,72,0202,020201,,Wrocław,3081368,0.3261215246753852,29971,0,
47249,3103466,Bielawy,750,51.76911,15.93807,PPL,2010-10-15,76,0804,080408,,,,0.0,750,0,
47235,3103452,Bielawy,130,52.8273,18.00814,PPL,2010-10-30,73,0419,041901,,Poznań,3088171,0.2487735195523844,130,0,
47245,3103462,Bielawy,620,52.07539,19.65557,PPLA3,2010-10-15,74,1005,100502,,Łódź,3093133,0.34242683776452126,620,0,
47216,3103433,Bielice,182,52.34897,14.95943,PPL,2015-09-06,76,0807,080705,,,,0.0,182,0,
47215,3103432,Bielice,560,53.20022,14.7276,PPLA3,2011-07-31,87,3212,321201,,,,0.0,560,0,
47210,3103427,Bielin,518,52.82883,14.4541,PPL,2010-10-30,87,3206,320606,,,,0.0,518,0,
47208,3103425,Bielinek,210,52.94279,14.1549,PPL,2010-10-30,87,3206,320602,,,,0.0,210,0,
22935,775997,Bieliny,8,52.30606,20.44504,PPL,2010-10-12,78,1432,143203,,Warszawa,6695624,0.457434391283142,8,0,
22939,776001,Bieliny,1061,50.44237,22.30482,PPL,2010-10-12,80,1812,181207,,,,0.0,1061,0,
22934,775996,Bieliny,1900,50.84947,20.94149,PPLA3,2010-10-12,84,2604,260401,,,,0.0,1900,0,
47202,3103419,Bielkowo,217,54.26021,18.5111,PPL,2010-10-30,82,2204,220403,,,,0.0,217,0,
47194,3103411,Bielsk,2600,52.6718,19.805,PPLA3,2010-09-18,78,1419,141901,,Warszawa,6695624,0.25495129289539115,2600,0,
22924,775986,Bielsk Podlaski,26493,52.76512,23.18647,PPLA3,2019-09-05,81,2003,200301,,,,0.0,26493,0,
47185,3103402,Bielsko-Biala,176515,49.82245,19.04686,PPLA3,2022-03-10,83,2461,246101,,Kraków,3094802,0.32847393660498764,176515,0,
49510,7530791,Bielsko-Biała,165374,49.81204,19.03899,ADM2,2022-04-04,83,2461,,,Kraków,3094802,0.32333544130209163,165374,0,
22919,775981,Bieniaszowice,166,50.21964,20.76124,PPL,2010-10-20,77,1204,120403,,Kraków,3094802,0.3716051209194327,166,0,
22914,775976,Bieniewice,1129,52.18268,20.56306,PPL,2010-11-27,78,1432,143201,,Warszawa,6695624,0.5342810805361646,1129,0,
47171,3103388,Bierawa,1370,50.28111,18.24177,PPLA3,2010-09-25,79,1603,160302,,,,0.0,1370,0,
47169,3103386,Bierdzany,1072,50.81852,18.15808,PPL,2010-10-16,79,1609,160913,,Wrocław,3081368,0.2657940133574543,1072,0,
47168,3103385,Bierkowice,516,50.47411,16.60232,PPL,2010-10-16,72,0208,020807,,Wrocław,3081368,0.30527738180232783,516,0,
47152,3103369,Biertowice,900,49.87207,19.7929,PPL,2010-10-23,77,1209,120907,,Kraków,3094802,0.4951504606614108,900,0,
47147,3103364,Bierutów,5065,51.12443,17.54607,PPLA3,2010-10-15,72,0214,021402,,Wrocław,3081368,0.3025454968913421,5065,0,
47148,3103365,Bieruń,19659,50.09,19.09291,PPLA2,2014-09-14,83,2414,241401,,Kraków,3094802,0.3779949098070672,19659,0,
47134,3103351,Bierzwnik,1152,53.03567,15.665,PPL,2010-09-28,87,3202,320201,,,,0.0,1152,0,
47129,3103346,Biesiekierz,998,54.13308,16.03909,PPL,2010-09-07,87,3209,320902,,,,0.0,998,0,
47172,3103389,Bieńkówka,264,53.30672,18.33764,PPL,2010-09-23,73,0404,040402,,,,0.0,264,0,
47174,3103391,Bieńkówka,2300,49.776,19.77179,PPL,2010-09-23,77,1215,121503,,Kraków,3094802,0.3621101304022668,2300,0,
47112,3103329,Bieżuń,1931,52.96107,19.88976,PPLA3,2010-09-19,78,1437,143701,,,,0.0,1931,0,
22855,775917,Binarowa,1763,49.75621,21.22816,PPL,2010-10-17,77,1205,120502,,Kraków,3094802,0.2510348922481138,1763,0,
22846,775908,Bircza,1000,49.69173,22.47854,PPLA3,2012-10-01,80,1813,181301,,,,0.0,1000,0,
22843,775905,Biskupice,890,49.96364,20.12129,PPL,2010-09-16,77,1219,121901,,Kraków,3094802,0.5986803753931745,890,0,
22832,775894,Biskupice Radłowskie,1091,50.12069,20.85943,PPL,2010-10-17,77,1216,121605,,Kraków,3094802,0.34380904685588426,1091,0,
52311,7534548,Biskupiec,1927,53.50056,19.35056,PPL,2010-09-09,85,2812,281202,,,,0.0,1927,0,
22828,775890,Biskupiec,10340,53.86467,20.95692,PPLA3,2011-07-31,85,2814,281402,,,,0.0,10340,0,
47060,3103277,Biskupin,320,52.78781,17.73039,PPL,2010-10-30,73,0419,041902,,Poznań,3088171,0.3313792119198819,320,0,
47061,3103278,Biskupin,315,51.32165,15.8504,PPL,2010-10-30,72,0209,020902,,Wrocław,3081368,0.2606822787775513,315,0,
22826,775888,Biszcza,1901,50.40146,22.65063,PPLA3,2010-10-14,75,0602,060204,,,,0.0,1901,0,
22824,775886,Bisztynek,2462,54.08633,20.90192,PPLA3,2014-06-27,85,2801,280104,,,,0.0,2462,0,
22860,775922,Biłgoraj,26987,50.54114,22.72204,PPLA2,2019-09-05,75,0602,060201,,,,0.0,26987,0,
47057,3103274,Blachownia,9891,50.78015,18.96389,PPLA3,2011-07-31,83,2404,240401,,,,0.0,9891,0,
47030,3103247,Bledzew,1300,52.51711,15.41382,PPLA3,2010-10-16,76,0803,080301,,,,0.0,1300,0,
47019,3103236,Blizanów,483,51.90372,18.01003,PPLA3,2010-10-15,86,3007,300701,,Poznań,3088171,0.25189110167432527,483,0,
22783,775844,Blizianka,180,49.86554,21.94124,PPL,2010-10-19,80,1819,181903,,,,0.0,180,0,
22779,775840,Blizne,3500,49.75332,21.97351,PPL,2010-10-19,80,1802,180205,,,,0.0,3500,0,
47010,3103227,Bliżyce,594,50.63324,19.55704,PPL,2010-10-21,83,2409,240903,,Kraków,3094802,0.3281620800327573,594,0,
22775,775836,Bliżyn,2000,51.10778,20.75935,PPLA3,2010-10-16,84,2610,261002,,,,0.0,2000,0,
46963,3103180,Bobolice,97,50.61146,19.49309,PPL,2010-09-07,83,2409,240903,,Kraków,3094802,0.32957355935086335,97,0,
46964,3103181,Bobolice,655,50.62268,16.85835,PPL,2010-09-07,72,0224,022405,,Wrocław,3081368,0.32183830578990325,655,0,
46962,3103179,Bobolice,4365,53.95508,16.58893,PPLA3,2011-07-31,87,3209,320903,,,,0.0,4365,0,
46958,3103175,Boboszów,240,50.10624,16.69849,PPL,2018-11-15,72,0208,020810,,,,0.0,240,0,
22735,775796,Bobowa,3018,49.70866,20.94767,PPL,2012-10-01,77,1205,120503,,Kraków,3094802,0.2646608625516517,3018,0,
46956,3103173,Bobowo,1271,53.88378,18.55681,PPL,2010-09-13,82,2213,221304,,,,0.0,1271,0,
46944,3103161,Bobrowice,290,54.34075,16.63073,PPL,2010-10-16,87,3213,321306,,,,0.0,290,0,
46945,3103162,Bobrowice,884,51.9485,15.09058,PPLA3,2010-10-16,76,0802,080202,,,,0.0,884,0,
22714,775775,Bobrowniki,1200,52.06442,20.01949,PPL,2010-09-06,74,1005,100509,,Warszawa,6695624,0.25483734006464076,1200,0,
22712,775773,Bobrowniki,168,53.3799,23.59374,PPL,2010-09-21,81,2011,201108,,,,0.0,168,0,
22713,775774,Bobrowniki,141,53.12417,23.88934,PPL,2010-09-21,81,2002,200204,,,,0.0,141,0,
22715,775776,Bobrowniki,480,51.59936,21.29923,PPL,2010-09-21,78,1407,140702,,Warszawa,6695624,0.25198069700635894,480,0,
22716,775777,Bobrowniki,610,51.54895,21.93326,PPL,2010-09-21,75,0616,061604,,Warszawa,6695624,0.2514671855843161,610,0,
46932,3103149,Bobrowniki,650,51.8651,15.73191,PPL,2010-09-21,76,0804,080407,,,,0.0,650,0,
